bodypartscoords,nosex,nose.1y,nose.2likelihood,earLx.1,earL.1y.1,earL.2likelihood.1,earRx.2,earR.1y.2,earR.2likelihood.2,schoulderLx.3,schoulderL.1y.3,schoulderL.2likelihood.3,schoulderRx.4,schoulderR.1y.4,schoulderR.2likelihood.4,tailbasex.5,tailbase.1y.5,tailbase.2likelihood.5,videoname
1,457.1937255859375,5.039822101593018,5.900682026549475e-06,0.3173391819000244,3.028219699859619,2.402472773610498e-06,3.133308887481689,5.633841514587402,7.05659476807341e-06,925.7134399414062,4.616508483886719,1.070838493433257e-06,1.483049392700195,3.619738101959229,6.112054961704416e-06,461.1689453125,3.4645707607269287,6.574331564479508e-06,CDKL5_OLR_SS_D1_CD24
2,425.4579772949219,4.863139152526856,5.7886722970579285e-06,0.318765640258789,3.0266904830932617,2.4043131361395358e-06,3.1348609924316406,5.63207483291626,7.0652754402544815e-06,925.0528564453124,5.042404651641846,8.396041266678367e-07,1.484400510787964,3.618395090103149,6.104831300035585e-06,461.2745056152344,3.3999829292297363,5.823328592668986e-06,CDKL5_OLR_SS_D1_CD24
3,425.5813293457031,4.87637996673584,5.183954726817319e-06,0.3172719478607178,3.026406764984131,2.4049277271842584e-06,3.134074449539185,5.631875991821289,7.06381251802668e-06,925.1156616210938,5.045648574829102,9.436717505195702e-07,1.4843873977661133,3.619677782058716,6.108034085627878e-06,493.1474914550781,3.157905578613281,5.199561201152392e-06,CDKL5_OLR_SS_D1_CD24
4,425.3567199707031,4.884130001068115,4.633072421711404e-06,0.3185715675354004,3.0266544818878174,2.4049390958680306e-06,3.133561849594116,5.632008075714111,7.066939815558726e-06,925.1403198242188,4.942651748657227,7.201157359304489e-07,1.483137845993042,3.619380474090576,6.10743472861941e-06,493.1340942382813,3.002366542816162,4.686572083301144e-06,CDKL5_OLR_SS_D1_CD24
5,489.2151489257813,4.974403381347656,5.795958713861182e-06,0.3182144165039062,3.025570869445801,2.4019457214308204e-06,3.1357364654541016,5.632565021514893,7.06264791006106e-06,925.088134765625,4.967955112457275,8.898298347048694e-07,1.484015941619873,3.618106842041016,6.103085070208181e-06,493.0171508789063,3.105830669403076,6.4325195126002654e-06,CDKL5_OLR_SS_D1_CD24
7,489.3595275878906,5.102255344390869,6.370888968376676e-06,0.3177540302276611,3.0256807804107666,2.404352244411712e-06,3.132972240447998,5.631350517272949,7.063314569677459e-06,925.1243896484376,4.851077556610107,9.207283824252954e-07,1.4842779636383057,3.618088960647583,6.1070672927598935e-06,492.9590148925781,3.2593843936920166,7.526884473918471e-06,CDKL5_OLR_SS_D1_CD24
8,489.33001708984375,4.955238342285156,6.28772522759391e-06,0.3188822269439697,3.0263631343841557,2.4099099391605705e-06,3.1339235305786133,5.631768226623535,7.085909601300955e-06,925.0983276367188,4.875527381896973,8.863631251188053e-07,1.4848127365112305,3.617862701416016,6.120524176367326e-06,493.0112915039063,3.0772507190704346,7.062843451421941e-06,CDKL5_OLR_SS_D1_CD24
9,489.3339538574219,5.035891056060791,5.781924301118124e-06,0.3181936740875244,3.0271174907684326,2.4095329536066856e-06,3.133915424346924,5.632416725158691,7.084247499733465e-06,925.1680908203124,4.794537544250488,6.93629715442512e-07,1.484375,3.618883609771729,6.118668352428358e-06,493.0180358886719,3.160957098007202,6.590407338080695e-06,CDKL5_OLR_SS_D1_CD24
10,489.3973388671875,4.9948506355285645,5.29157523487811e-06,0.318758487701416,3.0257163047790527,2.4086300527415005e-06,3.1353816986083984,5.63273286819458,7.080465366016142e-06,924.94921875,4.998967170715332,6.571815447387053e-07,1.4854578971862793,3.619570732116699,6.1188789004518185e-06,493.0578002929688,3.150142192840576,6.035889782651793e-06,CDKL5_OLR_SS_D1_CD24
11,489.4195251464844,4.946636199951172,5.201549811317818e-06,0.3188297748565674,3.0278477668762207,2.405663963145344e-06,3.1359128952026367,5.633010387420654,7.070613719406538e-06,925.0990600585938,5.008135318756104,7.510367368013249e-07,1.4851832389831543,3.61972713470459,6.119398221926531e-06,493.1238403320313,3.21390438079834,6.347135240503121e-06,CDKL5_OLR_SS_D1_CD24
