bodypartscoords,nosex,nose.1y,nose.2likelihood,earLx.1,earL.1y.1,earL.2likelihood.1,earRx.2,earR.1y.2,earR.2likelihood.2,schoulderLx.3,schoulderL.1y.3,schoulderL.2likelihood.3,schoulderRx.4,schoulderR.1y.4,schoulderR.2likelihood.4,tailbasex.5,tailbase.1y.5,tailbase.2likelihood.5,videoname
0,-0.2396259307861328,3.403395891189575,2.1508254576474428e-05,-0.2862005233764648,2.2867319583892822,1.3739264431933408e-05,1.525547981262207,5.502107620239258,2.4148530428647064e-05,1.656405687332153,4.265088081359863,4.325362624513218e-06,0.2422137260437011,4.269551753997803,3.13176387862768e-05,2.601261854171753,5.178362846374512,1.4361217836267317e-05,CDKL_OLR_Prob_CKL216
1,-0.2396259307861328,3.403395891189575,2.1508254576474428e-05,-0.2862005233764648,2.2867319583892822,1.3739264431933408e-05,1.525547981262207,5.502107620239258,2.4148530428647064e-05,1.656405687332153,4.265088081359863,4.325362624513218e-06,0.2422137260437011,4.269551753997803,3.13176387862768e-05,2.601261854171753,5.178362846374512,1.4361217836267317e-05,CDKL_OLR_Prob_CKL216
2,-0.2010293006896972,3.3983616828918457,2.0510155081865374e-05,-0.2642998695373535,2.268507719039917,1.280297146877274e-05,1.5556516647338867,5.506718635559082,2.267159470648039e-05,1.6494059562683103,4.268001556396484,4.004781203548191e-06,0.2704615592956543,4.234990119934082,2.894377030315809e-05,2.610956907272339,5.207193374633789,1.325428547716001e-05,CDKL_OLR_Prob_CKL216
3,-0.2162394523620605,3.3835818767547607,2.02954270207556e-05,-0.2756261825561523,2.263373374938965,1.2733175935863985e-05,1.582728624343872,5.521839141845703,2.2672047634841878e-05,1.65189790725708,4.257453441619873,3.949892288801493e-06,0.2903420925140381,4.251543998718262,2.8885780920973048e-05,2.609896183013916,5.2207794189453125,1.3252970347821249e-05,CDKL_OLR_Prob_CKL216
4,-0.1563062667846679,3.4138338565826416,1.924719981616363e-05,-0.2205038070678711,2.2374439239501958,1.2011343642370775e-05,1.5984742641448977,5.493516445159912,2.185906305385288e-05,1.671802997589111,4.258950233459473,3.663003553810995e-06,0.3318095207214355,4.218120574951172,2.6884534236160107e-05,2.5995001792907715,5.218677997589111,1.2362131201371083e-05,CDKL_OLR_Prob_CKL216
5,-0.1242265701293945,3.438278913497925,1.978600448637735e-05,-0.2105612754821777,2.2310307025909424,1.2391331438266208e-05,1.5821335315704346,5.472316741943359,2.2531472495757043e-05,1.6723031997680664,4.254766941070557,3.776137873501284e-06,0.3203675746917724,4.2200026512146,2.7488727937452492e-05,2.591710090637207,5.229227542877197,1.2679712199314965e-05,CDKL_OLR_Prob_CKL216
6,-0.163036823272705,3.4457316398620605,2.03443159989547e-05,-0.2147789001464843,2.2703676223754883,1.2795268048648722e-05,1.592987060546875,5.4809250831604,2.310175113962032e-05,1.687326431274414,4.269680500030518,3.986471710959449e-06,0.2926955223083496,4.227109909057617,2.92105796688702e-05,2.576265335083008,5.219021320343018,1.305707701249048e-05,CDKL_OLR_Prob_CKL216
7,-0.2029500007629394,3.4148550033569336,2.02954270207556e-05,-0.2376527786254882,2.282273292541504,1.2807512575818691e-05,1.6042582988739014,5.467974662780762,2.2803040337748826e-05,1.7038958072662354,4.283759593963623,4.060378159920219e-06,0.2889363765716553,4.218216896057129,2.939363730547484e-05,2.5500941276550293,5.21116828918457,1.3034881703788416e-05,CDKL_OLR_Prob_CKL216
8,-0.2013020515441894,3.412102222442627,2.0233333998476155e-05,-0.2363801002502441,2.282094240188598,1.2718054676952306e-05,1.6075570583343506,5.469585418701172,2.265940565848723e-05,1.702558517456055,4.286261081695557,4.0431023080600426e-06,0.2890496253967285,4.217389583587647,2.9262437237775885e-05,2.545912504196167,5.216921806335449,1.2943389265274163e-05,CDKL_OLR_Prob_CKL216
10,-0.2239737510681152,3.39643669128418,2.077928547805641e-05,-0.2352576255798339,2.3122031688690186,1.31228525788174e-05,1.6503150463104248,5.531656265258789,2.3578799300594252e-05,1.7558047771453855,4.352129936218262,4.08841333410237e-06,0.341433048248291,4.252196788787842,2.9624225135194138e-05,2.523162364959717,5.28239631652832,1.296362461289391e-05,CDKL_OLR_Prob_CKL216
11,-0.195892333984375,3.4083542823791504,1.964787588804029e-05,-0.2257189750671386,2.2664904594421387,1.2366198461677412e-05,1.6240472793579102,5.54103946685791,2.2311514840112068e-05,1.744464635848999,4.335617065429688,3.7404540762508982e-06,0.369922399520874,4.262569904327393,2.719297845032997e-05,2.5339856147766118,5.2720794677734375,1.2151791452197358e-05,CDKL_OLR_Prob_CKL216
12,-0.2019343376159668,3.4064810276031494,1.9518754925229587e-05,-0.2384557723999023,2.2638871669769287,1.222237460751785e-05,1.6345884799957275,5.548606395721436,2.195478737121448e-05,1.7588841915130615,4.351046562194824,3.700749857671326e-06,0.3683793544769287,4.272120475769043,2.6971150873578157e-05,2.527535915374756,5.262505531311035,1.2037809938192368e-05,CDKL_OLR_Prob_CKL216
13,-0.1686244010925293,3.4279088973999023,1.98206034838222e-05,-0.2285494804382324,2.259020566940308,1.2555090506793933e-05,1.6136267185211182,5.527840614318848,2.27534710575128e-05,1.7499010562896729,4.328032970428467,3.820868187176529e-06,0.369173526763916,4.251523971557617,2.7698772100848142e-05,2.51668643951416,5.268659591674805,1.2305588825256564e-05,CDKL_OLR_Prob_CKL216
