bodypartscoords,nosex,nose.1y,nose.2likelihood,earLx.1,earL.1y.1,earL.2likelihood.1,earRx.2,earR.1y.2,earR.2likelihood.2,schoulderLx.3,schoulderL.1y.3,schoulderL.2likelihood.3,schoulderRx.4,schoulderR.1y.4,schoulderR.2likelihood.4,tailbasex.5,tailbase.1y.5,tailbase.2likelihood.5,videoname
1,139.33364868164062,3.744349479675293,4.50330444436986e-05,781.13916015625,556.373779296875,1.3916311218054034e-05,139.71688842773438,5.224925518035889,1.0591631507850252e-05,779.9859008789062,554.97509765625,4.014657315565273e-05,780.4283447265625,553.4169311523438,0.0012645628303289,781.1697387695312,552.3958129882812,0.6103748679161072,CDKL_P_CD8
2,139.2598876953125,4.425191879272461,1.9677318050526083e-05,821.163330078125,0.5740816593170166,3.067575335080619e-06,140.04376220703125,5.64259147644043,3.7611150673910734e-06,780.9324340820312,554.6566162109375,8.29205964691937e-06,781.2654418945312,553.1286010742188,0.000348155881511,782.1674194335938,552.240966796875,0.1982682049274444,CDKL_P_CD8
3,139.34634399414062,4.743320465087891,2.503188807168044e-05,781.43212890625,556.8035278320312,3.379464715180802e-06,140.20425415039062,5.767127990722656,4.868232736043865e-06,780.6661987304688,554.9959106445312,1.1548888323886786e-05,780.99072265625,553.2586669921875,0.0004125469131395,781.9471435546875,552.34375,0.3475693464279175,CDKL_P_CD8
4,139.35072326660156,4.6520209312438965,2.540786772442516e-05,781.5516967773438,556.8494262695312,2.9515160804294283e-06,140.16099548339844,5.706528186798096,4.930942395731108e-06,780.8141479492188,554.985107421875,1.00358829513425e-05,781.1329956054688,553.21484375,0.0004044757515657,782.0831909179688,552.3341674804688,0.3166389465332031,CDKL_P_CD8
5,139.36288452148438,4.569702625274658,2.309131014044397e-05,781.413330078125,556.7501220703125,2.7229000352235744e-06,140.12623596191406,5.7032790184021,4.499367150856415e-06,780.5228271484375,554.8566284179688,9.16155204322422e-06,780.87646484375,553.0393676757812,0.0003709155425895,781.8195190429688,552.1737670898438,0.3022160232067108,CDKL_P_CD8
6,139.36276245117188,4.507345676422119,2.4739438231335956e-05,143.53231811523438,1.812449932098389,2.636244971654378e-06,140.13929748535156,5.688210964202881,4.670117959904019e-06,776.708740234375,554.8099975585938,7.397834906441858e-06,780.5468139648438,552.7723999023438,0.0002497382229194,781.51513671875,552.1083984375,0.2080152183771133,CDKL_P_CD8
7,139.36611938476562,4.525106906890869,2.447749466227833e-05,143.532958984375,1.820383071899414,2.630524249980226e-06,140.13999938964844,5.6583685874938965,4.647698006010614e-06,776.9657592773438,554.82666015625,7.674421794945374e-06,780.8622436523438,552.8335571289062,0.0002346361725358,781.7664184570312,552.0986938476562,0.2227346152067184,CDKL_P_CD8
8,139.36410522460938,4.515923976898193,2.4344240955542773e-05,143.52931213378906,1.8286194801330569,2.617493919387925e-06,140.1396026611328,5.662835121154785,4.619056198862381e-06,776.9476318359375,554.9627685546875,8.381133739021607e-06,780.7638549804688,552.8519897460938,0.0002745692909229,781.7192993164062,552.1564331054688,0.2459744960069656,CDKL_P_CD8
9,139.21018981933594,4.4663615226745605,2.0259711163816974e-05,143.45742797851562,1.7298526763916016,2.0601896721927915e-06,140.04054260253906,5.793639183044434,3.605309984777705e-06,777.0640258789062,555.0156860351562,6.083502285036957e-06,780.8978881835938,552.9132690429688,0.0002372318704146,781.9122314453125,552.2609252929688,0.1507003158330917,CDKL_P_CD8
10,139.1529541015625,4.53070878982544,1.9740093193831854e-05,143.44430541992188,1.7020583152770996,1.975928853426012e-06,140.00218200683594,5.814280033111572,3.4406511986162518e-06,777.0205078125,555.074462890625,7.684573574806564e-06,780.8963012695312,552.9308471679688,0.000246477604378,781.8803100585938,552.1831665039062,0.2270348966121673,CDKL_P_CD8
11,138.95079040527344,4.515683174133301,1.748554132063873e-05,143.29835510253906,1.6990187168121338,1.8147161426895764e-06,139.89407348632812,5.857500076293945,3.04489913105499e-06,777.2075805664062,555.0208740234375,6.828187451901613e-06,781.16796875,552.9268798828125,0.000235354527831,782.162353515625,552.142822265625,0.1581736803054809,CDKL_P_CD8
12,138.97010803222656,4.4445414543151855,1.7364913219353184e-05,143.33804321289062,1.6160025596618652,1.8180107872467488e-06,139.93919372558594,5.855146408081055,3.096396767432452e-06,776.9856567382812,554.9196166992188,7.668211765121669e-06,780.891357421875,552.80712890625,0.0002555550308898,781.866455078125,552.0362548828125,0.2098964601755142,CDKL_P_CD8
13,139.04747009277344,4.323383331298828,1.813102608139161e-05,143.35943603515625,1.5007083415985107,1.9162944226991385e-06,139.97422790527344,5.74207878112793,3.339287331982632e-06,777.0278930664062,555.0137939453125,8.69900486577535e-06,780.9055786132812,552.9415283203125,0.0002703989739529,781.8440551757812,552.0144653320312,0.2618970870971679,CDKL_P_CD8
14,139.17620849609375,4.316752433776856,1.761327075655572e-05,143.4158935546875,1.541022539138794,1.926859113154933e-06,140.01065063476562,5.644392013549805,3.222719442419475e-06,777.0678100585938,554.9314575195312,7.364603334281128e-06,780.9180908203125,552.717529296875,0.0002500103146303,781.8414306640625,552.0197143554688,0.2154753357172012,CDKL_P_CD8
15,138.97528076171875,4.32639741897583,1.7242520698346198e-05,781.5894775390625,556.61669921875,2.2668759811494965e-06,139.91346740722656,5.737379550933838,2.9878287932660896e-06,777.0676879882812,554.9624633789062,9.237219273927622e-06,781.01904296875,552.9155883789062,0.0002847345022018,781.8656616210938,552.0733642578125,0.3122929632663727,CDKL_P_CD8
16,138.93450927734375,4.326130390167236,1.930974394781515e-05,781.6052856445312,556.583251953125,2.3864104150561616e-06,139.86776733398438,5.8365349769592285,3.4883137232100125e-06,776.9973754882812,554.7841796875,9.556904842611402e-06,780.9398193359375,552.7960815429688,0.000238370950683,781.7683715820312,551.9706420898438,0.2868304550647735,CDKL_P_CD8
17,250.28744506835935,88.53781127929688,2.6775713195092976e-05,781.6139526367188,556.5944213867188,2.595052364995354e-06,139.77195739746094,5.788105010986328,3.4471113394829445e-06,776.972900390625,554.8995361328125,1.0777729585242923e-05,780.911376953125,552.8111572265625,0.0002817755157593,781.668701171875,552.0128784179688,0.3186622858047485,CDKL_P_CD8
18,250.4164123535156,88.48318481445312,1.9130831788061187e-05,781.6935424804688,556.6586303710938,2.487366600689711e-06,139.69923400878906,5.739917755126953,3.4019512895611115e-06,777.0294189453125,554.8085327148438,8.934582183428574e-06,781.096923828125,552.9343872070312,0.0003097334119956,781.8785400390625,552.0289306640625,0.2544153034687042,CDKL_P_CD8
19,138.9781036376953,4.106824398040772,1.66463250934612e-05,781.6466674804688,556.58642578125,1.8226406837129616e-06,139.8014373779297,5.610620021820068,3.1231888897309545e-06,777.017578125,554.797119140625,8.122276085487101e-06,780.9598999023438,552.873046875,0.0002666656801011,781.8607177734375,552.0311889648438,0.1999509185552597,CDKL_P_CD8
20,138.9595947265625,4.111366748809815,1.5974736015778035e-05,143.2142791748047,1.5236310958862305,1.7508418750367127e-06,139.8357391357422,5.626684665679932,2.985140099553973e-06,777.0507202148438,554.7990112304688,6.409189609257737e-06,781.0279541015625,552.64208984375,0.000223887633183,781.982421875,552.06396484375,0.1445967853069305,CDKL_P_CD8
22,249.28440856933597,89.95634460449219,2.9706239729421213e-05,143.2367706298828,1.648524522781372,2.1267669580993243e-06,139.91604614257812,5.5624542236328125,3.686128820845624e-06,777.116943359375,554.7711791992188,7.1463632593804505e-06,781.0140991210938,552.7678833007812,0.0001927621633512,781.910888671875,551.9911499023438,0.2142803370952606,CDKL_P_CD8
23,248.920166015625,89.92295837402344,1.6584684999543242e-05,143.13351440429688,1.672314167022705,1.622089598640741e-06,139.70474243164062,5.795584201812744,2.75676802630187e-06,777.057861328125,554.6663208007812,7.009444743744098e-06,780.9371337890625,552.625732421875,0.0001829633110901,781.8682861328125,551.96826171875,0.1561295241117477,CDKL_P_CD8
24,139.13348388671875,4.248151302337647,1.549094849906396e-05,143.4874725341797,1.6380126476287842,1.7917993773153285e-06,139.8843994140625,5.595759391784668,2.9953835110063665e-06,776.9679565429688,554.6255493164062,6.306660907284822e-06,780.8872680664062,552.55322265625,0.0002207890065619,781.8951416015625,551.92919921875,0.12213646620512,CDKL_P_CD8
26,250.7276153564453,88.63832092285156,2.379132274654694e-05,143.47479248046875,1.6960344314575195,1.9896740468539065e-06,139.90147399902344,5.583550453186035,3.372536639290047e-06,777.0287475585938,554.8077392578125,7.352763987000799e-06,780.9754028320312,552.8203125,0.0002801954688038,781.923828125,551.9784545898438,0.1571341007947921,CDKL_P_CD8
27,139.07142639160156,4.1637372970581055,1.582709955982864e-05,781.6849975585938,556.5197143554688,2.231342023151228e-06,139.9020233154297,5.618381977081299,3.105099494860042e-06,776.9854736328125,554.843994140625,9.56449093791889e-06,780.94189453125,552.8740844726562,0.0002899636747315,781.82861328125,552.0042114257812,0.179125428199768,CDKL_P_CD8
28,251.0581512451172,88.4540023803711,2.268476782774087e-05,781.3816528320312,556.4630737304688,2.8282424864300992e-06,139.92453002929688,5.646345615386963,3.5100708828395e-06,776.7446899414062,554.8644409179688,1.2135671568103136e-05,780.5905151367188,552.8618774414062,0.0003238301724195,781.3761596679688,552.0543823242188,0.2894173264503479,CDKL_P_CD8
29,139.04649353027344,4.175716876983643,1.8349786842009053e-05,781.4789428710938,556.5416870117188,3.2473144528921694e-06,139.90574645996094,5.698940277099609,3.481889280010364e-06,776.9613647460938,554.860107421875,1.3091914297547191e-05,780.8053588867188,552.8113403320312,0.0003427254268899,781.5805053710938,551.9160766601562,0.3081989586353302,CDKL_P_CD8
30,139.0327606201172,4.038962364196777,1.8465540051693097e-05,781.54150390625,556.6165771484375,2.6444336072017904e-06,139.86900329589844,5.554235458374023,3.32851845996629e-06,776.8350219726562,554.911865234375,1.1907294720003849e-05,780.7874145507812,552.8412475585938,0.000355672702426,781.6210327148438,551.9546508789062,0.26198410987854,CDKL_P_CD8
31,139.21533203125,4.10723876953125,1.8225178791908547e-05,781.6641235351562,556.5659790039062,2.1825526346219704e-06,140.0127716064453,5.488523960113525,3.795587190325023e-06,776.8091430664062,554.743408203125,9.724842129799072e-06,780.7987060546875,552.716552734375,0.0003340062394272,781.6470947265625,551.8829345703125,0.2248104512691497,CDKL_P_CD8
32,139.2044219970703,4.245007991790772,1.876489659480285e-05,781.666748046875,556.5791625976562,2.275047336297576e-06,140.05050659179688,5.51417875289917,3.5217867662140634e-06,776.8158569335938,554.700927734375,9.863967534329277e-06,780.8684692382812,552.78515625,0.0003475990379229,781.6818237304688,551.8758544921875,0.2277363389730453,CDKL_P_CD8
33,139.21226501464844,4.151070594787598,1.769408117979765e-05,781.6993408203125,556.646240234375,2.2476974663732108e-06,140.07720947265625,5.5105462074279785,3.5000000480067683e-06,776.9198608398438,554.779541015625,9.777186278370207e-06,780.9260864257812,552.8058471679688,0.0003475249977782,781.7265014648438,551.86669921875,0.2288645803928375,CDKL_P_CD8
34,139.15936279296875,4.169951438903809,1.5787680240464397e-05,781.4910888671875,556.631591796875,2.4209300590882776e-06,140.04058837890625,5.559530258178711,3.2756213386164745e-06,776.7188720703125,554.9050903320312,1.1094246474385727e-05,780.6449584960938,552.9201049804688,0.0003558290190994,781.540771484375,552.0467529296875,0.234753280878067,CDKL_P_CD8
35,139.0712890625,4.02628231048584,2.034909266512841e-05,781.6820678710938,556.7356567382812,2.2936715140531305e-06,139.89511108398438,5.550107955932617,4.132276444579475e-06,777.0746459960938,554.8656616210938,8.650006748212036e-06,781.1083984375,553.1061401367188,0.0002762218937277,781.8345947265625,552.1388549804688,0.2480193078517913,CDKL_P_CD8
36,139.07244873046875,4.082644462585449,1.592261287441943e-05,143.58546447753906,1.6603453159332275,1.816355734263197e-06,140.00144958496094,5.567398071289063,3.243225819460349e-06,776.9349365234375,554.7227172851562,7.708809789619409e-06,780.8818969726562,552.84765625,0.0002473651256877,781.6202392578125,552.020263671875,0.2051793783903122,CDKL_P_CD8
37,139.06610107421875,4.070697784423828,1.460960538679501e-05,143.5880584716797,1.5579352378845217,1.7063215409507393e-06,139.91741943359375,5.527447700500488,3.0243948003771948e-06,777.0059814453125,554.6237182617188,7.906571227067616e-06,780.9544677734375,552.9003295898438,0.0002442467666696,781.740478515625,551.9998779296875,0.1911313086748123,CDKL_P_CD8
38,251.2873992919922,88.66714477539062,2.5793284294195477e-05,781.65576171875,556.6165161132812,3.2781997560960008e-06,139.9065704345703,5.591146469116211,2.5563456347299507e-06,777.1785888671875,554.794677734375,1.13208716356894e-05,781.1519775390625,552.9511108398438,0.000354391610017,781.875244140625,551.9483642578125,0.2880568504333496,CDKL_P_CD8
39,251.88253784179688,88.54415130615234,2.082507126033306e-05,781.574462890625,556.4984130859375,2.4421615307801403e-06,139.89306640625,5.479830265045166,3.0612889077019645e-06,776.9653930664062,554.6934204101562,9.225677786162125e-06,781.0733032226562,552.9088134765625,0.0002910879265982,781.8541870117188,551.937255859375,0.2000737637281417,CDKL_P_CD8
40,139.1281280517578,4.031338214874268,1.5499666915275156e-05,781.4226684570312,556.5464477539062,2.5510582872811938e-06,139.87277221679688,5.601129531860352,3.116116886303644e-06,776.834228515625,554.728271484375,1.0381999345554505e-05,780.7684326171875,552.848876953125,0.000331353774527,781.6019287109375,551.9055786132812,0.2246418893337249,CDKL_P_CD8
42,139.09695434570312,4.133584976196289,1.3423521522781812e-05,781.7429809570312,556.6451416015625,1.931666702148505e-06,139.9180145263672,5.632164001464844,2.4749724616413005e-06,776.9691772460938,554.785400390625,9.4379920483334e-06,781.023681640625,552.7313232421875,0.0003494202974252,781.7591552734375,551.9014282226562,0.1852956116199493,CDKL_P_CD8
43,139.131103515625,3.9870080947875977,1.6201696780626662e-05,781.5645141601562,556.3787841796875,2.02099136004108e-06,139.86630249023438,5.558437824249268,3.0024305033293786e-06,776.8533935546875,554.6396484375,9.810903975449037e-06,780.8593139648438,552.7125244140625,0.0003130608238279,781.6477661132812,551.9159545898438,0.1831207275390625,CDKL_P_CD8
45,779.9571533203125,552.46630859375,1.7069763998733833e-05,781.3370971679688,556.364990234375,4.643338797905017e-06,139.75506591796875,5.569671154022217,3.3046164844563464e-06,780.2705078125,554.8685302734375,1.6556445189053193e-05,780.57421875,553.0134887695312,0.000401576195145,781.4298095703125,552.1210327148438,0.4044075906276703,CDKL_P_CD8
